Instrument,Anonymized Lot,4 digit Seq,Customer Lot,Failure Date,Type of Procedures,Remaining Uses,Experience of Surgeon who performed Last Surgery(in Years),Experience Level
INS-004,LOT014,0061,LOT014-0061,1/11/2024,Prostatectomy - Radical w/ Lymphadenectomy|Cholecystectomy|Nephrectomy|Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Cholecystectomy|Prostatectomy - Radical w/o Lymphadenectomy,8,13,M
INS-008,LOT011,0551,LOT011-0551,1/11/2024,Prostatectomy - Radical w/o Lymphadenectomy|Low Anterior Resection (LAR)|Cholecystectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology,4,18,H
INS-010,LOT015,0003,LOT015-0003,1/16/2024,,0,,L
INS-001,LOT001,0167,LOT001-0167,1/17/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/o Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Inguinal Hernia - Bilateral|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,11,18,H
INS-004,LOT014,0135,LOT014-0135,1/17/2024,Prostatectomy - Radical w/ Lymphadenectomy|Other General Surgery|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Cholecystectomy,7,18,H
INS-011,LOT003,0165,LOT003-0165,1/17/2024,Hysterectomy - Malignant|Sigmoid Colectomy|Ileocolic Resection|Adrenalectomy|Cholecystectomy|Hysterectomy - Malignant|Cholecystectomy,7,18,H
INS-006,LOT016,0229,LOT016-0229,1/17/2024,,0,,L
INS-002,LOT017,0305,LOT017-0305,1/17/2024,Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral|Ventral Hernia TAPP|Incisional Hernia eTEP|Ventral Hernia TAPP|Incisional Hernia TAR|Inguinal Hernia - Bilateral|Incisional Hernia eTEP,7,18,H
INS-012,LOT018,0201,LOT018-0201,1/23/2024,Ventral Hernia TAPP|Inguinal Hernia - Unilateral|Sleeve Gastrectomy|Gastrectomy - Subtotal|Inguinal Hernia - Bilateral|Other General Surgery|Ventral Hernia TAPP|Other General Surgery|Inguinal Hernia - Bilateral|Ventral Hernia TAPP|Inguinal Hernia - Bilateral|Incisional Hernia eTEP|Ventral Hernia TAPP,2,18,H
INS-001,LOT019,0306,LOT019-0306,1/23/2024,Ventral Hernia TAPP|Incisional Hernia eTEP|Inguinal Hernia - Bilateral|Other General Surgery|Incisional Hernia TAR|Cholecystectomy|Cholecystectomy,11,18,H
INS-001,LOT010,0144,LOT010-0144,1/25/2024,Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Low Anterior Resection (LAR)|Other Gynecology|Hemicolectomy - Left|Radical Cystectomy w/ Ileal Conduit|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,1,9,M
INS-002,LOT012,0103,LOT012-0103,1/25/2024,Other Gynecology|Ventral hernia TAR|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Umbilical Hernia TAPP|Hysterectomy - Malignant|Other Colorectal|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Sacrocolpopexy,3,8,L
INS-001,LOT020,0267,LOT020-0267,1/25/2024,Other Urology|Inguinal Hernia - Unilateral|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Nephrectomy|Radical Cystectomy w/ Ileal Conduit|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy w/ Hysterectomy|Nephrectomy,4,18,H
INS-013,LOT021,0021,LOT021-0021,1/25/2024,,0,,L
INS-011,LOT022,0075,LOT022-0075,1/29/2024,Hysterectomy - Benign|Other Colorectal,12,13,M
INS-001,LOT002,0330,LOT002-0330,1/29/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Malignant|Prostatectomy - Radical w/o Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Reconstuctive|Ventral Hernia TAPP|Salpingo-Oophorectomy|Other General Surgery|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/o Lymphadenectomy,3,8,L
INS-002,LOT023,0110,LOT023-0110,1/29/2024,Other Gynecology|Other Gynecology|Ventral Hernia IPOM|Other Gynecology|Hysterectomy - Benign|Hysterectomy - Malignant|Hysterectomy - Malignant|Ventral Hernia TAPP|Incisional Hernia TAR|Sigmoid Colectomy,5,8,L
INS-008,LOT024,0718,LOT024-0718,1/31/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy,5,8,L
INS-004,LOT025,0019,LOT025-0019,1/31/2024,Prostatectomy - Radical w/ Lymphadenectomy|Cholecystectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,7,18,H
INS-002,LOT026,0178,LOT026-0178,1/31/2024,Rectopexy|Cholecystectomy|Rectopexy|Other Colorectal|Other Reconstuctive|Hysterectomy - Malignant|Sacrocolpopexy|Sigmoid Colectomy|Hysterectomy - Benign|Other General Surgery,4,18,H
INS-014,LOT027,0052,LOT027-0052,1/26/2024,,0,,L
INS-015,LOT028,0001,LOT028-0001,2/2/2024,Internal Mammary Artery Harvest - Single (MIDCAB)|Internal Mammary Artery Harvest - Single (MIDCAB),12,13,M
INS-002,LOT024,0480,LOT024-0480,2/8/2024,Hysterectomy - Malignant,14,18,H
INS-001,LOT020,0257,LOT020-0257,2/8/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Incisional Hernia TAR|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Nephrectomy,6,13,M
INS-016,LOT029,0048,LOT029-0048,2/8/2024,Low Anterior Resection (LAR)|Hemicolectomy - Right|Hemicolectomy - Right|Low Anterior Resection (LAR)|Hemicolectomy - Right|Low Anterior Resection (LAR)|Low Anterior Resection (LAR),62,17,H
INS-009,LOT009,0205,LOT009-0205,2/12/2024,Low Anterior Resection (LAR)|Sigmoid Colectomy|Other Colorectal|Abdominoperineal Resection (APR)|Ileocolic Resection|Low Anterior Resection (LAR),4,18,H
INS-001,LOT020,0244,LOT020-0244,2/12/2024,Inguinal Hernia - Bilateral|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Inguinal Hernia - Unilateral|Prostatectomy - Radical w/o Lymphadenectomy|Hysterectomy - Malignant,10,18,H
INS-008,LOT030,0110,LOT030-0110,2/12/2024,Prostatectomy - Radical w/ Lymphadenectomy|Cholecystectomy|Small Bowel Resection|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/o Lymphadenectomy|Hemicolectomy - Right|Small Bowel Resection|Prostatectomy - Radical w/ Lymphadenectomy,1,10,M
INS-017,LOT031,0393,LOT031-0393,2/12/2024,,0,,L
INS-010,LOT032,0018,LOT032-0018,2/13/2024,,0,,L
INS-017,LOT033,0326,LOT033-0326,2/12/2024,,0,,L
INS-018,LOT034,0075,LOT034-0075,2/13/2024,,0,,L
INS-019,,0000,,2/13/2024,,0,,L
INS-009,LOT022,0163,LOT022-0163,2/14/2024,Low Anterior Resection (LAR)|Liver Wedge Resection|Low Anterior Resection (LAR)|Low Anterior Resection (LAR),6,13,M
INS-003,LOT011,0061,LOT011-0061,2/14/2024,Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant,5,8,L
INS-008,LOT024,0523,LOT024-0523,2/16/2024,Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Liver Wedge Resection|Prostatectomy - Radical w/ Lymphadenectomy|Myomectomy|Other Gynecology,3,8,L
INS-008,LOT030,0096,LOT030-0096,2/16/2024,Small Bowel Resection|Prostatectomy - Radical w/o Lymphadenectomy|Prostatectomy - Radical w/o Lymphadenectomy|Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy,1,10,M
INS-008,LOT024,0701,LOT024-0701,2/16/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,4,18,H
INS-001,LOT020,0247,LOT020-0247,2/19/2024,Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/o Lymphadenectomy|Hysterectomy - Malignant|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Endometriosis Resection|Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Endometriosis Resection|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy,2,18,H
INS-002,LOT003,0394,LOT003-0394,2/19/2024,Hysterectomy - Malignant|Hemicolectomy - Left|Ventral hernia eTEP|Ventral Hernia TAPP|Umbilical Hernia IPOM|Endometriosis Resection|Hysterectomy - Malignant|Inguinal Hernia - Unilateral|Hysterectomy - Benign|Other Gynecology,5,8,L
INS-001,LOT020,0263,LOT020-0263,2/19/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Endometriosis Resection|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Inguinal Hernia - Unilateral|Hysterectomy - Malignant|Hysterectomy - Benign|Other Urology|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,6,13,M
INS-004,LOT025,0004,LOT025-0004,2/19/2024,Cholecystectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Partial Nephrectomy|Cholecystectomy|Prostatectomy - Radical w/ Lymphadenectomy|Small Bowel Resection|Prostatectomy - Radical w/ Lymphadenectomy|Sigmoid Colectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign,1,10,M
INS-002,LOT017,0293,LOT017-0293,2/22/2024,Ventral Hernia TAPP|Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral|Ventral Hernia TAPP|Inguinal Hernia - Bilateral|Ventral Hernia TAPP|Inguinal Hernia - Bilateral|Inguinal Hernia - Unilateral|Ventral Hernia TAPP|Inguinal Hernia - Unilateral|Incisional Hernia eTEP,4,18,H
INS-001,LOT036,0136,LOT036-0136,2/22/2024,Incisional Hernia eTEP|Incisional Hernia eTEP|Pyeloplasty|Inguinal Hernia - Unilateral|Incisional Hernia eTEP|Cholecystectomy|Cholecystectomy|Umbilical Hernia TAPP|Ventral Hernia TAPP|Cholecystectomy|Incisional Hernia eTEP|Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral|Nephrectomy|Nephrectomy,3,8,L
INS-002,LOT017,0298,LOT017-0298,2/22/2024,Ventral Hernia TAPP|Inguinal Hernia - Unilateral|Ventral Hernia TAPP|Inguinal Hernia - Unilateral|Umbilical Hernia TAPP|Other General Surgery|Inguinal Hernia - Unilateral|Inguinal Hernia - Bilateral|Inguinal Hernia - Unilateral|Incisional Hernia TAPP|Ventral hernia eTEP|Incisional Hernia TAR,3,8,L
INS-008,LOT024,0512,LOT024-0512,2/26/2024,Hemicolectomy - Left|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy,4,18,H
INS-001,LOT037,0092,LOT037-0092,2/26/2024,Sacrocolpopexy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,8,14,M
INS-011,LOT038,0421,LOT038-0421,2/26/2024,Low Anterior Resection (LAR)|Sigmoid Colectomy|Other Reconstuctive|Nipple Sparing Mastectomy - Prophylactic w/ Implant Recon|Transanal Total Mesorectal Excision|Small Bowel Resection|Hemicolectomy - Right,7,18,H
INS-010,LOT039,0017,LOT039-0017,2/27/2024,,0,,L
INS-001,LOT040,0379,LOT040-0379,2/26/2024,Nephrectomy|Nephrectomy|Nephrectomy,15,14,M
INS-020,LOT041,0000,,2/27/2024,,0,,L
INS-017,LOT022,0125,LOT022-0125,3/1/2024,,0,,L
INS-001,LOT042,0319,LOT042-0319,3/1/2024,Nephrectomy|Nephrectomy|Incisional Hernia TAR|Inguinal Hernia - Bilateral|Cholecystectomy|Other General Surgery|Cholecystectomy|Inguinal Hernia - Bilateral|Ventral Hernia TAPP|Appendectomy|Cholecystectomy|Ventral hernia eTEP|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hiatal Hernia - Paraesophageal|Radical Cystectomy w/ Ileal Conduit,1,10,M
INS-001,,0259,-259,3/4/2024,,0,,L
INS-018,LOT043,0130,LOT043-0130,3/4/2024,,0,,L
INS-001,LOT002,0476,LOT002-0476,3/6/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Malignant|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Hysterectomy - Malignant|Other Gynecology|Hysterectomy - Malignant,6,14,M
INS-001,LOT002,0472,LOT002-0472,3/6/2024,Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/o Lymphadenectomy|Hysterectomy - Benign|Other Urology|Salpingo-Oophorectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other General Surgery,3,8,L
INS-009,LOT009,0080,LOT009-0080,3/6/2024,Hemicolectomy - Right|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Other Colorectal,6,14,M
INS-008,LOT024,0709,LOT024-0709,3/6/2024,Abdominoperineal Resection (APR)|Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy,2,18,H
INS-021,LOT044,0390,LOT044-0390,3/7/2024,Thymectomy|Other General Surgery|Pulmonary Lobectomy|Pulmonary Lobectomy|Thymectomy|Hiatal Hernia - Paraesophageal|Other Thoracic|Thymectomy|Pulmonary Lobectomy|Pulmonary Lobectomy,4,18,H
INS-002,LOT045,0081,LOT045-0081,3/7/2024,Incisional Hernia eTEP|Inguinal Hernia eTEP - Unilateral|Incisional Hernia eTEP|Incisional Hernia TAR|Incisional Hernia TAR|Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral,7,18,H
INS-001,LOT001,0259,LOT001-0259,3/7/2024,Umbilical Hernia TAPP|Nephrectomy|Inguinal Hernia - Unilateral|Pulmonary Lobectomy|Pancreatectomy - Distal|Inguinal Hernia - Bilateral|Inguinal Hernia - Bilateral|Pancreatectomy - Distal|Prostatectomy - Radical w/ Lymphadenectomy|Cholecystectomy|Cholecystectomy,7,18,H
INS-008,LOT046,0622,LOT046-0622,3/8/2024,Hysterectomy - Malignant|Sigmoid Colectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,4,18,H
INS-008,LOT046,0673,LOT046-0673,3/8/2024,Parastomal Hernia Repair|Parastomal Hernia Repair|Inguinal Hernia - Unilateral|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,4,18,H
INS-008,LOT024,0507,LOT024-0507,3/8/2024,Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Other Colorectal|Partial Nephrectomy|Gastrectomy - Distal|Endometriosis Resection,2,18,H
INS-001,LOT040,0397,LOT040-0397,3/11/2024,Incisional Hernia TAR|Inguinal Hernia eTEP - Unilateral|Nephrectomy|Pancreatectomy - Total|Incisional Hernia eTEP|Inguinal Hernia - Unilateral|Cholecystectomy,11,18,H
INS-010,LOT047,0034,LOT047-0034,3/11/2024,,0,,L
INS-009,LOT012,0025,LOT012-0025,3/12/2024,Sigmoid Colectomy|Other Colorectal|Hemicolectomy - Right|Low Anterior Resection (LAR)|Other Gynecology|Ileocolic Resection|Other Colorectal|Other Colorectal,2,18,H
INS-008,LOT024,0699,LOT024-0699,3/12/2024,Nephrectomy|Other Urology|Inguinal Hernia - Bilateral|Partial Nephrectomy|Hysterectomy - Benign|Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hemicolectomy - Right,1,10,M
INS-009,LOT048,0013,LOT048-0013,3/13/2024,Other Colorectal|Hemicolectomy - Left|Abdominoperineal Resection (APR)|Hemicolectomy - Left|Hemicolectomy - Right,5,8,L
INS-011,LOT023,0049,LOT023-0049,3/13/2024,Hysterectomy - Malignant|Cholecystectomy|Other Reconstuctive|Nipple Sparing Mastectomy - Malignant w/ Tissue Expander|Other General Surgery|Hysterectomy - Malignant|Other Colorectal,7,18,H
INS-002,LOT045,0377,LOT045-0377,3/15/2024,Other Colorectal|Hysterectomy - Malignant|Inguinal Hernia - Unilateral|Hysterectomy - Malignant|Hysterectomy - Malignant,10,18,H
INS-001,LOT037,0101,LOT037-0101,3/15/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/o Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,2,18,H
INS-022,LOT049,0116,LOT049-0116,3/15/2024,Hysterectomy - Malignant|Myomectomy|Sacrocolpopexy|Myomectomy|Myomectomy,3,8,L
INS-008,LOT046,0606,LOT046-0606,3/15/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Cholecystectomy|Sigmoid Colectomy|Inguinal Hernia - Unilateral|Prostatectomy - Radical w/ Lymphadenectomy,2,18,H
INS-023,LOT050,0031,LOT050-0031,3/12/2024,,0,,L
INS-014,LOT051,0004,LOT051-0004,3/12/2024,,0,,L
INS-008,LOT046,0615,LOT046-0615,3/20/2024,Low Anterior Resection (LAR)|Prostatectomy - Radical w/o Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Hysterectomy - Benign|Hemicolectomy - Right|Prostatectomy - Radical w/ Lymphadenectomy,2,18,H
INS-001,LOT037,0049,LOT037-0049,3/20/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,4,18,H
INS-011,LOT052,0223,LOT052-0223,3/20/2024,Hysterectomy - Malignant|Other Colorectal|Low Anterior Resection (LAR),11,18,H
INS-022,LOT003,0320,LOT003-0320,3/21/2024,Myomectomy|Hysterectomy - Malignant|Myomectomy|Sacrocolpopexy w/ Hysterectomy|Myomectomy|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Myomectomy,2,18,H
INS-001,LOT053,0284,LOT053-0284,3/21/2024,Incisional Hernia eTEP|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Ventral Hernia IPOM,10,18,H
INS-024,LOT054,0143,LOT054-0143,3/21/2024,Other General Surgery|Parastomal Hernia Repair|Adrenalectomy|Rectopexy|Small Bowel Resection|Sigmoid Colectomy|Small Bowel Resection|Hysterectomy - Benign|Ileocecal Resection,1,10,M
INS-025,LOT055,0093,LOT055-0093,3/21/2024,Other Gynecology|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/o Lymphadenectomy,7,18,H
INS-008,LOT046,0617,LOT046-0617,3/21/2024,Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-004,LOT005,0252,LOT005-0252,3/21/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,9,14,M
